SL.NO   Token           Lexeme              Line_no
1072    +               Arithmetic_op       107   
1073    ;               Semicolon           107   
1074    continue        Identifier          108   
1075    ;               Semicolon           108   
1076    }               Close_bracket       109   
1077    ungetc          Keyword             110   
1078    (               Open_bracket        110   
1079    next            Identifier          110   
1080    ,               Special_op          110   
1081    in              Identifier          110   
1082    )               Close_bracket       110   
1083    ;               Semicolon           110   
1084    lexemes         Identifier          111   
1085    [               Open_bracket        111   
1086    i               Identifier          111   
1087    ]               Close_bracket       111   
1088    =               Assignment_op       111   
1089    '               Special_op          111   
1090    \               Special_op          111   
1091    0               Number              111   
1092    '               Special_op          111   
1093    ;               Semicolon           111   
1094    display         Identifier          112   
1095    _               Special_op          112   
1096    lexemes         Identifier          112   
1097    _               Special_op          112   
1098    string          Identifier          112   
1099    (               Open_bracket        112   
1100    sl              Identifier          112   
1101    _               Special_op          112   
1102    number          Identifier          112   
1103    ,               Special_op          112   
1104    lexemes         Identifier          112   
1105    ,               Special_op          112   
1106    "               Special_op          112   
1107    Assignment      Identifier          112   
1108    _               Special_op          112   
1109    op              Identifier          112   
1110    "               Special_op          112   
1111    ,               Special_op          112   
1112    line            Identifier          112   
1113    _               Special_op          112   
1114    number          Identifier          112   
1115    ,               Special_op          112   
1116    out             Identifier          112   
1117    )               Close_bracket       112   
1118    ;               Semicolon           112   
1119    }               Close_bracket       113   
1120    else            Keyword             114   
1121    if              Keyword             114   
1122    (               Open_bracket        114   
1123    isdigit         Identifier          114   
1124    (               Open_bracket        114   
1125    ch              Identifier          114   
1126    )               Close_bracket       114   
1127    )               Close_bracket       114   
1128    {               Open_bracket        115   
1129    lexemes         Identifier          116   
1130    [               Open_bracket        116   
1131    i               Identifier          116   
1132    +               Arithmetic_op       116   
1133    +               Arithmetic_op       116   
1134    ]               Close_bracket       116   
1135    =               Assignment_op       116   
1136    (               Open_bracket        116   
1137    char            Keyword             116   
1138    )               Close_bracket       116   
1139    ch              Identifier          116   
1140    ;               Semicolon           116   
1141    while           Keyword             117   
1142    (               Open_bracket        117   
1143    (               Open_bracket        117   
1144    (               Open_bracket        117   
1145    ch              Identifier          117   
1146    =               Assignment_op       117   
1147    fgetc           Keyword             117   
1148    (               Open_bracket        117   
1149    in              Identifier          117   
1150    )               Close_bracket       117   
1151    )               Close_bracket       117   
1152    ==              Relational_op       117   
1153    isdigit         Identifier          117   
1154    (               Open_bracket        117   
1155    ch              Identifier          117   
1156    )               Close_bracket       117   
1157    )               Close_bracket       117   
1158    |               Special_op          117   
1159    |               Special_op          117   
1160    ch              Identifier          117   
1161    ==              Relational_op       117   
1162    '               Special_op          117   
1163    .               Special_op          117   
1164    '               Special_op          117   
1165    )               Close_bracket       117   
1166    {               Open_bracket        118   
1167    if              Keyword             119   
1168    (               Open_bracket        119   
1169    ch              Identifier          119   
1170    ==              Relational_op       119   
1171    '               Special_op          119   
1172    .               Special_op          119   
1173    '               Special_op          119   
1174    )               Close_bracket       119   
1175    flag            Identifier          120   
1176    =               Assignment_op       120   
1177    true            Identifier          120   
1178    ;               Semicolon           120   
1179    lexemes         Identifier          121   
1180    [               Open_bracket        121   
1181    i               Identifier          121   
1182    +               Arithmetic_op       121   
1183    +               Arithmetic_op       121   
1184    ]               Close_bracket       121   
1185    =               Assignment_op       121   
1186    ch              Identifier          121   
1187    ;               Semicolon           121   
1188    }               Close_bracket       122   
1189    if              Keyword             124   
1190    (               Open_bracket        124   
1191    ch              Identifier          124   
1192    !=              Relational_op       124   
1193    EOF             Identifier          124   
1194    )               Close_bracket       124   
1195    ungetc          Keyword             125   
1196    (               Open_bracket        125   
1197    ch              Identifier          125   
1198    ,               Special_op          125   
1199    in              Identifier          125   
1200    )               Close_bracket       125   
1201    ;               Semicolon           125   
1202    display         Identifier          127   
1203    _               Special_op          127   
1204    lexemes         Identifier          127   
1205    _               Special_op          127   
1206    string          Identifier          127   
1207    (               Open_bracket        127   
1208    sl              Identifier          127   
1209    _               Special_op          127   
1210    number          Identifier          127   
1211    ,               Special_op          127   
1212    lexemes         Identifier          127   
1213    ,               Special_op          127   
1214    flag            Identifier          128   
1215    ?               Undefined           128   
1216    "               Special_op          128   
1217    Float           Identifier          128   
1218    "               Special_op          128   
1219    :               Special_op          128   
1220    "               Special_op          128   
1221    Number          Identifier          128   
1222    "               Special_op          128   
1223    ,               Special_op          128   
1224    line            Identifier          128   
1225    _               Special_op          128   
1226    number          Identifier          128   
1227    ,               Special_op          128   
1228    out             Identifier          128   
1229    )               Close_bracket       128   
1230    ;               Semicolon           128   
1231    }               Close_bracket       129   
1232    else            Keyword             130   
1233    if              Keyword             130   
1234    (               Open_bracket        130   
1235    isalpha         Identifier          130   
1236    (               Open_bracket        130   
1237    ch              Identifier          130   
1238    )               Close_bracket       130   
1239    )               Close_bracket       130   
1240    {               Open_bracket        131   
1241    lexemes         Identifier          132   
1242    [               Open_bracket        132   
1243    i               Identifier          132   
1244    +               Arithmetic_op       132   
1245    +               Arithmetic_op       132   
1246    ]               Close_bracket       132   
1247    =               Assignment_op       132   
1248    (               Open_bracket        132   
1249    char            Keyword             132   
1250    )               Close_bracket       132   
1251    ch              Identifier          132   
1252    ;               Semicolon           132   
1253    while           Keyword             133   
1254    (               Open_bracket        133   
1255    isalpha         Identifier          133   
1256    (               Open_bracket        133   
1257    ch              Identifier          133   
1258    =               Assignment_op       133   
1259    fgetc           Keyword             133   
1260    (               Open_bracket        133   
1261    in              Identifier          133   
1262    )               Close_bracket       133   
1263    )               Close_bracket       133   
1264    )               Close_bracket       133   
1265    lexemes         Identifier          134   
1266    [               Open_bracket        134   
1267    i               Identifier          134   
1268    +               Arithmetic_op       134   
1269    +               Arithmetic_op       134   
1270    ]               Close_bracket       134   
1271    =               Assignment_op       134   
1272    ch              Identifier          134   
1273    ;               Semicolon           134   
1274    lexemes         Identifier          135   
1275    [               Open_bracket        135   
1276    i               Identifier          135   
1277    ]               Close_bracket       135   
1278    =               Assignment_op       135   
1279    '               Special_op          135   
1280    \               Special_op          135   
1281    0               Number              135   
1282    '               Special_op          135   
1283    ;               Semicolon           135   
1284    if              Keyword             137   
1285    (               Open_bracket        137   
1286    ch              Identifier          137   
1287    !=              Relational_op       137   
1288    EOF             Identifier          137   
1289    )               Close_bracket       137   
1290    ungetc          Keyword             138   
1291    (               Open_bracket        138   
1292    ch              Identifier          138   
1293    ,               Special_op          138   
1294    in              Identifier          138   
1295    )               Close_bracket       138   
1296    ;               Semicolon           138   
1297    bool            Identifier          140   
1298    keyword         Identifier          140   
1299    =               Assignment_op       140   
1300    is              Identifier          140   
1301    _               Special_op          140   
1302    keyword         Identifier          140   
1303    (               Open_bracket        140   
1304    lexemes         Identifier          140   
1305    )               Close_bracket       140   
1306    ;               Semicolon           140   
1307    display         Identifier          141   
1308    _               Special_op          141   
1309    lexemes         Identifier          141   
1310    _               Special_op          141   
1311    string          Identifier          141   
1312    (               Open_bracket        141   
1313    sl              Identifier          141   
1314    _               Special_op          141   
1315    number          Identifier          141   
1316    ,               Special_op          141   
1317    lexemes         Identifier          141   
1318    ,               Special_op          141   
1319    keyword         Identifier          142   
1320    ?               Undefined           142   
1321    "               Special_op          142   
1322    Keyword         Identifier          142   
1323    "               Special_op          142   
1324    :               Special_op          142   
1325    "               Special_op          142   
1326    Identifier      Identifier          142   
1327    "               Special_op          142   
1328    ,               Special_op          142   
1329    line            Identifier          142   
1330    _               Special_op          142   
1331    number          Identifier          142   
1332    ,               Special_op          142   
1333    out             Identifier          142   
1334    )               Close_bracket       142   
1335    ;               Semicolon           142   
1336    }               Close_bracket       143   
1337    else            Keyword             144   
1338    {               Open_bracket        145   
1339    display         Identifier          146   
1340    _               Special_op          146   
1341    lexemes         Identifier          146   
1342    (               Open_bracket        146   
1343    sl              Identifier          146   
1344    _               Special_op          146   
1345    number          Identifier          146   
1346    ,               Special_op          146   
1347    ch              Identifier          146   
1348    ,               Special_op          146   
1349    "               Special_op          146   
1350    Undefined       Identifier          146   
1351    "               Special_op          146   
1352    ,               Special_op          146   
1353    line            Identifier          146   
1354    _               Special_op          146   
1355    number          Identifier          146   
1356    ,               Special_op          146   
1357    out             Identifier          146   
1358    )               Close_bracket       146   
1359    ;               Semicolon           146   
1360    }               Close_bracket       147   
1361    if              Keyword             148   
1362    (               Open_bracket        148   
1363    increment       Identifier          148   
1364    )               Close_bracket       148   
1365    sl              Identifier          149   
1366    _               Special_op          149   
1367    number          Identifier          149   
1368    +               Arithmetic_op       149   
1369    +               Arithmetic_op       149   
1370    ;               Semicolon           149   
1371    }               Close_bracket       150   
1372    fclose          Identifier          152   
1373    (               Open_bracket        152   
1374    in              Identifier          152   
1375    )               Close_bracket       152   
1376    ;               Semicolon           152   
1377    fclose          Identifier          153   
1378    (               Open_bracket        153   
1379    out             Identifier          153   
1380    )               Close_bracket       153   
1381    ;               Semicolon           153   
1382    return          Identifier          155   
1383    0               Number              155   
1384    ;               Semicolon           155   
1385    }               Close_bracket       156   
