SL.NO   Token           Lexeme              Line_no
250     "               Special_op          23    
251     printf          Keyword             23    
252     "               Special_op          23    
253     ,               Special_op          23    
254     "               Special_op          23    
255     fgetc           Keyword             23    
256     "               Special_op          23    
257     ,               Special_op          23    
258     "               Special_op          23    
259     fopen           Keyword             23    
260     "               Special_op          23    
261     ,               Special_op          23    
262     "               Special_op          24    
263     while           Keyword             24    
264     "               Special_op          24    
265     ,               Special_op          24    
266     "               Special_op          24    
267     do              Keyword             24    
268     "               Special_op          24    
269     ,               Special_op          24    
270     "               Special_op          24    
271     else            Keyword             24    
272     "               Special_op          24    
273     ,               Special_op          24    
274     "               Special_op          24    
275     if              Keyword             24    
276     "               Special_op          24    
277     ,               Special_op          24    
278     "               Special_op          24    
279     char            Keyword             24    
280     "               Special_op          24    
281     ,               Special_op          24    
282     "               Special_op          25    
283     size            Identifier          25    
284     _               Special_op          25    
285     t               Identifier          25    
286     "               Special_op          25    
287     ,               Special_op          25    
288     "               Special_op          25    
289     ungetc          Keyword             25    
290     "               Special_op          25    
291     ,               Special_op          25    
292     "               Special_op          25    
293     fprintf         Keyword             25    
294     "               Special_op          25    
295     ,               Special_op          25    
296     "               Special_op          25    
297     for             Keyword             25    
298     "               Special_op          25    
299     ,               Special_op          25    
300     "               Special_op          25    
301     ctype           Keyword             25    
302     "               Special_op          25    
303     ,               Special_op          25    
304     "               Special_op          25    
305     stdbool         Keyword             25    
306     "               Special_op          25    
307     ,               Special_op          25    
308     "               Special_op          25    
309     define          Keyword             25    
310     "               Special_op          25    
311     }               Close_bracket       25    
312     ;               Semicolon           25    
313     for             Keyword             27    
314     (               Open_bracket        27    
315     int             Keyword             27    
316     i               Identifier          27    
317     =               Assignment_op       27    
318     0               Number              27    
319     ;               Semicolon           27    
320     i               Identifier          27    
321     <               Relational_op       27    
322     KEYWORD         Identifier          27    
323     _               Special_op          27    
324     ENTRIES         Identifier          27    
325     ;               Semicolon           27    
326     i               Identifier          27    
327     +               Arithmetic_op       27    
328     +               Arithmetic_op       27    
329     )               Close_bracket       27    
330     {               Open_bracket        28    
331     if              Keyword             29    
332     (               Open_bracket        29    
333     strcmp          Identifier          29    
334     (               Open_bracket        29    
335     keywords        Identifier          29    
336     [               Open_bracket        29    
337     i               Identifier          29    
338     ]               Close_bracket       29    
339     ,               Special_op          29    
340     word            Identifier          29    
341     )               Close_bracket       29    
342     ==              Relational_op       29    
343     0               Number              29    
344     )               Close_bracket       29    
345     {               Open_bracket        30    
346     return          Identifier          31    
347     true            Identifier          31    
348     ;               Semicolon           31    
349     }               Close_bracket       32    
350     }               Close_bracket       33    
351     return          Identifier          34    
352     false           Identifier          34    
353     ;               Semicolon           34    
354     }               Close_bracket       35    
355     int             Keyword             36    
356     main            Keyword             36    
357     (               Open_bracket        36    
358     int             Keyword             36    
359     argc            Keyword             36    
360     ,               Special_op          36    
361     char            Keyword             36    
362     *               Arithmetic_op       36    
363     argv            Keyword             36    
364     [               Open_bracket        36    
365     ]               Close_bracket       36    
366     )               Close_bracket       36    
367     {               Open_bracket        37    
368     if              Keyword             39    
369     (               Open_bracket        39    
370     argc            Keyword             39    
371     !=              Relational_op       39    
372     3               Number              39    
373     )               Close_bracket       39    
374     {               Open_bracket        40    
375     printf          Keyword             41    
376     (               Open_bracket        41    
377     "               Special_op          41    
378     Input           Identifier          41    
379     parameter       Identifier          41    
380     mismatch        Identifier          41    
381     \               Special_op          41    
382     n               Identifier          41    
383     "               Special_op          41    
384     )               Close_bracket       41    
385     ;               Semicolon           41    
386     return          Identifier          42    
387     1               Number              42    
388     ;               Semicolon           42    
389     }               Close_bracket       43    
390     /               Arithmetic_op       45    
391     /               Arithmetic_op       45    
392     Open            Identifier          45    
393     files           Identifier          45    
394     FILE            Keyword             46    
395     *               Arithmetic_op       46    
396     in              Identifier          46    
397     =               Assignment_op       46    
398     fopen           Keyword             46    
399     (               Open_bracket        46    
400     argv            Keyword             46    
401     [               Open_bracket        46    
402     1               Number              46    
403     ]               Close_bracket       46    
404     ,               Special_op          46    
405     "               Special_op          46    
406     r               Identifier          46    
407     "               Special_op          46    
408     )               Close_bracket       46    
409     ;               Semicolon           46    
410     FILE            Keyword             47    
